Tempo;ID;Eixo_X;Eixo_Y;Eixo_Z;Distancia_Passo;Distancia_Total
0,00;/tracking/trackers/6/rotation;14,18;-0,05;-5,47;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;13,85;-3,44;-3,92;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-20,65;-8,08;-1,82;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-16,32;-0,74;-1,25;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;1,28;-5,74;1,76;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;1,59;-3,80;-1,63;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,46;0,63;-5,45;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,25;-3,01;-3,83;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-19,92;-7,93;-1,51;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-18,53;-0,52;-0,93;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;0,73;-5,73;1,51;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;2,00;-3,79;-1,98;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,78;1,43;-5,40;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,68;-2,32;-3,58;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-19,18;-7,61;-1,15;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-20,43;0,27;-0,75;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;0,20;-5,65;1,29;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;3,59;-3,82;-3,00;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,10;2,28;-5,29;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,04;-1,32;-3,12;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-18,72;-7,32;-0,76;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-22,05;1,14;-0,89;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,19;-5,54;1,13;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;7,91;-4,24;-6,12;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,36;2,99;-5,19;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,32;-0,54;-2,77;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-18,43;-7,08;-0,47;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-23,31;1,52;-1,19;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,48;-5,46;1,02;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;12,44;-4,98;-10,17;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,58;3,64;-5,06;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,50;0,24;-2,37;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-18,21;-6,82;-0,16;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-24,37;1,85;-1,43;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,65;-5,37;0,96;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;16,72;-6,14;-15,00;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,74;4,15;-4,91;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,55;0,93;-1,96;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,92;-6,70;0,16;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-25,16;2,10;-1,60;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,65;-5,33;0,93;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;19,59;-7,22;-19,26;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,84;4,53;-4,75;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,45;1,19;-1,67;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,58;-6,79;0,51;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-25,64;2,51;-1,55;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,55;-5,34;0,92;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;20,15;-6,92;-21,72;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,84;4,66;-4,62;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,28;1,10;-1,57;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,31;-7,00;0,81;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-25,88;3,32;-1,03;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,43;-5,38;0,92;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;19,90;-5,35;-22,97;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,82;4,72;-4,55;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;15,08;0,89;-1,55;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,12;-7,23;1,04;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-26,08;4,27;-0,29;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,32;-5,41;0,92;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;19,23;-3,32;-23,24;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,78;4,74;-4,52;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,86;0,63;-1,59;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,08;-7,44;1,23;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-26,22;5,06;0,34;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,23;-5,43;0,93;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;18,69;-1,65;-23,48;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,75;4,76;-4,50;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,61;0,32;-1,65;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,13;-7,61;1,37;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-26,35;6,28;1,76;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,16;-5,46;0,94;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;17,36;0,66;-22,52;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,64;4,78;-4,57;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,42;0,09;-1,70;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,17;-7,73;1,47;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-26,33;6,86;3,50;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,10;-5,48;0,94;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;15,21;2,45;-20,32;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,55;4,79;-4,63;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,27;-0,04;-1,69;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,20;-7,85;1,55;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-26,08;7,11;5,13;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,05;-5,49;0,95;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;12,89;3,86;-17,80;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;15,33;4,85;-4,74;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,15;-0,13;-1,68;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,22;-7,93;1,55;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-25,77;7,32;6,33;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;-0,03;-5,51;0,92;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;11,18;4,81;-16,01;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,99;5,05;-4,81;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,05;-0,20;-1,68;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,22;-7,96;1,36;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-25,07;6,83;7,64;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;0,00;-5,56;0,84;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;9,27;5,93;-12,95;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,76;5,24;-4,78;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;13,98;-0,26;-1,67;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,22;-7,93;1,09;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-24,24;6,49;8,73;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;0,05;-5,62;0,76;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;7,83;6,80;-10,73;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,57;5,41;-4,70;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,03;0,00;-1,54;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-17,03;-7,82;0,79;0,0000;0,0000
0,00;/tracking/trackers/5/rotation;-23,46;6,41;9,68;0,0000;0,0000
0,00;/tracking/trackers/2/rotation;0,10;-5,67;0,68;0,0000;0,0000
0,00;/tracking/trackers/3/rotation;6,95;7,41;-9,76;0,0000;0,0000
0,00;/tracking/trackers/6/rotation;14,43;5,52;-4,59;0,0000;0,0000
0,00;/tracking/trackers/1/rotation;14,10;0,43;-1,39;0,0000;0,0000
0,00;/tracking/trackers/4/rotation;-16,82;-7,68;0,43;0,0000;0,0000
